,Citation Number,Date Issued,Time Issued,Location ,District,Cited Person Age,Cited Person Sex,Cited Person Race,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
537,C3442,2016-07-16,11:46:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,39,M,W,9-21-5-11(C)2,SPEED IN WORKSITE,29,F,W,3,2016
538,C3399,2016-07-16,22:47:00,N COLLEGE AVE & W 17TH ST,LB519,21,M,W,9-18-2-7,EXPIRED LICENSE PLATES,23,M,W,3,2016
539,C3409,2016-07-16,23:00:00,2700 N WALNUT ST; SPEEDWAY NORTH,LB208,55,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,21,M,B,3,2016
540,C3405,2016-07-16,22:34:00,N WALNUT ST & E 19TH ST,LB212,29,M,U,9-18-2-7,EXPIRED LICENSE PLATES,21,M,B,3,2016
541,C3401,2016-07-18,01:26:00,S FESS AVE & E 2ND ST,LB302,39,M,U,9-19-6-17,STOP/SIGNAL LAMP REQUIREMENTS,35,M,W,3,2016
542,C3402,2016-07-18,16:25:00,S LINCOLN ST & E DIXIE ST,LB314,34,M,W,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
543,C3400,2016-07-18,00:25:00,S COLLEGE MALL RD & E 3RD ST,LB305,24,M,W,9-18-2-7,EXPIRED LICENSE PLATES,28,M,W,3,2016
544,C3408,2016-07-19,20:56:00,S HIGH ST & E 2ND ST,LB303,26,F,P,9-18-2-29,VEHICLES REQUIRING REGISTRATION,35,F,W,3,2016
545,C3410,2016-07-19,03:54:00,S OLD STATE ROAD 37 & S STATE ROAD 37,LMS05,50,F,W,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,33,M,W,3,2016
546,C3432,2016-07-19,03:54:00,N OLD STATE ROAD 37 & CASCADES PARK TRAIL,LB505,50,F,W,9-21-3-7,DISREGARDING AUTOMATIC SIGNAL,33,M,W,3,2016
547,C3404,2016-07-19,00:32:00,W 3RD ST & S CORY LN,LB522,31,F,B,9-24-19-1,DRIVING WHILE SUSPENDED,26,M,W,3,2016
548,C3407,2016-07-19,01:39:00,526 S MITCHELL ST,LB303,20,M,W,14.09.030,NOISE VIOLATION,21,M,B,3,2016
549,C3411,2016-07-20,07:36:00,N WALNUT ST & E 17TH ST,LB213,31,M,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,44,M,W,3,2016
550,C3418,2016-07-21,23:35:00,S LINCOLN ST & E 4TH ST,LB104,30,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,29,M,W,3,2016
551,C3418,2016-07-21,23:35:00,S LINCOLN ST & E 4TH ST,LB104,30,F,W,9-21-8-9,WRONG WAY ON ONE WAY,29,M,W,3,2016
552,C3416,2016-07-21,14:26:00,S WALNUT ST & E HILLSIDE DR,LB421,27,M,W,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
553,C3419,2016-07-21,22:40:00,STATE RD 37 & 2ND ST,Unknown,27,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,34,M,W,3,2016
554,C3417,2016-07-22,08:00:00,BLOOMFIELD & CURRY PIKE,Unknown,42,M,W,9-18-2-7,EXPIRED LICENSE PLATES,46,M,W,3,2016
555,C3431,2016-07-23,23:41:00,S COLLEGE MALL RD & E 3RD ST,LB305,32,M,U,9-21-8-24,"UNSAFE MOVEMENT, LANE TO LANE",31,M,W,3,2016
556,C3430,2016-07-23,23:29:00,S COLLEGE MALL RD & E 3RD ST,LB305,61,M,U,9-24-19-1,DRIVING WHILE SUSPENDED,31,M,W,3,2016
557,C3430,2016-07-23,23:29:00,S COLLEGE MALL RD & E 3RD ST,LB305,61,M,U,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,31,M,W,3,2016
558,C3429,2016-07-23,23:23:00,S WOODLAWN AVE & E 3RD ST,LIU14,25,F,U,9-21-5-2(1),EXCEEDING URBAN SPEED LIMIT,33,M,W,3,2016
559,C3422,2016-07-23,19:50:00,S RENWICK BLVD & E CATHCART ST,LB318,28,M,W,9-18-2-7,EXPIRED LICENSE PLATES,27,M,W,3,2016
560,C3427,2016-07-24,22:58:00,S STATE ROAD 37 & W 3RD ST,LB403,23,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,38,M,W,3,2016
561,C3425,2016-07-24,00:35:00,S INDIANA AVE & E KIRKWOOD AVE,LB102,22,M,W,9-21-8-41,TRAFFIC CONTROL DEVICE DIS,29,M,W,3,2016
562,C3425,2016-07-24,00:35:00,S INDIANA AVE & E KIRKWOOD AVE,LB102,22,M,W,9-21-8-9,WRONG WAY ON ONE WAY,29,M,W,3,2016
563,C3423,2016-07-24,20:34:00,N STATE ROAD 37 & W ACUFF RD,LMN14,47,M,W,9-21-5-2,SPEED MAXIMUM,28,M,W,3,2016
564,C3424,2016-07-24,19:56:00,N STATE ROAD 37 & W ACUFF RD,LMN14,42,M,W,9-21-5-2(1),EXCEEDING URBAN SPEED LIMIT,28,M,W,3,2016
565,C3426,2016-07-24,23:59:00,N COLLEGE AVE & W 17TH ST,LB519,37,F,L,9-18-2-7,EXPIRED LICENSE PLATES,25,M,W,3,2016
566,C3434,2016-07-25,12:55:00,W STATE ROAD 45 & S STATE ROAD 37,LB416,31,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,39,M,W,3,2016
567,C3433,2016-07-25,12:00:00,W TAPP RD & S STATE ROAD 37,LMS22,38,F,W,9-18-2-7,EXPIRED LICENSE PLATES,39,M,W,3,2016
568,C3428,2016-07-25,05:19:00,N WASHINGTON ST & E 8TH ST,LB102,37,M,W,9-21-8-32,DISREGARDING STOP SIGN,23,M,W,3,2016
569,C3449,2016-07-26,23:29:00,S STATE ROAD 37 & W 3RD ST,LB403,36,M,W,9-21-5-11,SPEED LIMIT WORKSITES,29,F,W,3,2016
570,C3450,2016-07-26,23:09:00,N STATE ROAD 37 & W ACUFF RD,LMN14,55,M,W,9-21-5-11,SPEED LIMIT WORKSITES,29,F,W,3,2016
