0,1,2,3,counts
www.bloomberg.com,news,articles,2020-01-11,40
www.bloomberg.com,news,articles,2020-01-02,40
www.bloomberg.com,news,articles,2019-07-21,40
www.bloomberg.com,news,articles,2020-03-07,40
www.bloomberg.com,news,articles,2019-11-29,39
www.bloomberg.com,news,articles,2019-12-31,39
www.bloomberg.com,news,articles,2020-02-17,39
www.bloomberg.com,news,articles,2020-02-09,39
www.bloomberg.com,news,articles,2020-02-08,39
www.bloomberg.com,news,articles,2020-01-26,38
www.bloomberg.com,news,articles,2019-08-10,38
www.bloomberg.com,news,articles,2019-11-17,38
www.bloomberg.com,news,articles,2019-06-29,38
www.bloomberg.com,news,articles,2019-06-22,37
www.bloomberg.com,news,articles,2019-08-24,37
www.bloomberg.com,news,articles,2019-06-01,37
www.bloomberg.com,news,articles,2019-05-26,36
www.bloomberg.com,news,articles,2019-05-25,36
www.bloomberg.com,news,articles,2019-03-17,36
www.bloomberg.com,news,articles,2019-05-12,36
www.bloomberg.com,news,articles,2019-06-08,36
www.bloomberg.com,news,articles,2019-12-07,35
www.bloomberg.com,news,articles,2020-02-23,35
www.bloomberg.com,news,articles,2019-05-18,35
www.bloomberg.com,news,articles,2020-02-16,35
www.bloomberg.com,news,articles,2019-09-15,35
www.bloomberg.com,news,articles,2020-02-29,35
www.bloomberg.com,news,articles,2020-01-05,34
www.bloomberg.com,news,articles,2019-11-10,34
www.bloomberg.com,news,articles,2019-05-05,34
www.bloomberg.com,news,articles,2019-10-20,34
www.bloomberg.com,news,articles,2019-08-25,33
www.bloomberg.com,news,articles,2019-10-06,33
www.bloomberg.com,news,articles,2019-09-29,33
www.bloomberg.com,news,articles,2019-11-16,33
www.bloomberg.com,news,articles,2019-09-08,33
www.bloomberg.com,news,articles,2020-02-22,33
www.bloomberg.com,news,articles,2020-02-15,33
www.bloomberg.com,news,articles,2019-08-04,32
www.bloomberg.com,news,articles,2019-09-22,32
www.bloomberg.com,news,articles,2019-10-26,32
www.bloomberg.com,news,articles,2019-11-09,32
www.bloomberg.com,news,articles,2019-06-30,32
www.bloomberg.com,news,articles,2019-06-23,32
www.bloomberg.com,news,articles,2019-07-06,32
www.bloomberg.com,news,articles,2019-12-08,32
www.bloomberg.com,news,articles,2019-11-02,32
www.bloomberg.com,news,articles,2020-01-25,31
www.bloomberg.com,news,articles,2019-10-12,31
www.bloomberg.com,news,articles,2020-01-12,31
www.bloomberg.com,news,articles,2019-04-06,31
www.bloomberg.com,news,articles,2019-06-16,31
www.bloomberg.com,news,articles,2019-08-31,30
www.bloomberg.com,news,articles,2019-04-07,30
www.bloomberg.com,news,articles,2020-01-18,30
www.bloomberg.com,news,articles,2019-09-01,30
www.bloomberg.com,news,articles,2019-04-28,30
www.bloomberg.com,news,articles,2019-12-30,30
www.bloomberg.com,news,articles,2019-03-30,30
www.bloomberg.com,news,articles,2019-08-18,30
www.bloomberg.com,news,articles,2019-10-27,30
www.bloomberg.com,news,articles,2019-11-03,30
www.bloomberg.com,news,articles,2019-07-28,29
www.bloomberg.com,news,articles,2019-09-14,29
www.bloomberg.com,news,articles,2019-10-19,29
www.bloomberg.com,news,articles,2019-08-17,29
www.bloomberg.com,news,articles,2019-11-23,29
www.bloomberg.com,news,articles,2019-07-13,28
www.bloomberg.com,news,articles,2019-09-07,28
www.bloomberg.com,news,articles,2020-02-02,28
www.bloomberg.com,news,articles,2019-12-15,28
www.bloomberg.com,news,articles,2019-09-28,28
www.bloomberg.com,news,articles,2019-07-07,28
www.bloomberg.com,news,articles,2019-04-13,27
www.bloomberg.com,news,articles,2019-12-01,27
www.bloomberg.com,news,articles,2019-08-11,27
www.bloomberg.com,news,articles,2019-03-09,27
www.bloomberg.com,news,articles,2019-12-22,26
www.bloomberg.com,news,articles,2019-12-21,26
www.bloomberg.com,news,articles,2019-07-20,26
www.bloomberg.com,news,articles,2019-04-14,26
www.bloomberg.com,news,articles,2019-04-27,25
www.bloomberg.com,news,articles,2019-04-20,25
www.bloomberg.com,news,articles,2019-05-04,25
www.bloomberg.com,news,articles,2019-11-24,25
www.bloomberg.com,news,articles,2020-01-04,25
www.bloomberg.com,news,articles,2019-06-09,24
www.bloomberg.com,news,articles,2019-12-23,24
www.bloomberg.com,news,articles,2019-12-27,23
www.bloomberg.com,news,articles,2019-09-21,22
www.bloomberg.com,news,articles,2019-05-11,22
www.bloomberg.com,news,articles,2019-07-27,21
www.bloomberg.com,news,articles,2019-06-15,21
www.bloomberg.com,news,articles,2019-03-16,21
www.bloomberg.com,news,articles,2020-01-01,20
www.bloomberg.com,news,articles,2019-08-03,19
www.bloomberg.com,news,articles,2019-07-14,19
www.bloomberg.com,news,articles,2020-03-09,19
www.bloomberg.com,news,articles,2019-12-24,18
www.bloomberg.com,news,articles,2019-12-26,18
www.bloomberg.com,news,articles,2019-12-28,18
www.bloomberg.com,news,articles,2019-11-30,17
www.bloomberg.com,news,articles,2019-12-29,17
www.bloomberg.com,news,articles,2019-04-21,16
www.bloomberg.com,news,articles,2019-12-25,9
www.bloomberg.com,news,articles,2017-07-20,7
www.bloomberg.com,news,articles,2017-06-29,6
www.bloomberg.com,news,articles,2017-10-05,6
www.bloomberg.com,news,articles,2017-11-16,6
www.bloomberg.com,news,articles,2018-03-08,6
www.bloomberg.com,news,articles,2018-04-19,6
www.bloomberg.com,news,articles,2017-11-02,5
www.bloomberg.com,news,articles,2018-06-14,5
www.bloomberg.com,news,articles,2017-09-13,4
www.bloomberg.com,news,articles,2019-02-14,4
www.bloomberg.com,news,articles,2018-11-15,4
www.bloomberg.com,news,articles,2018-11-14,4
www.bloomberg.com,news,articles,2018-12-06,4
www.bloomberg.com,news,articles,2019-01-31,4
www.bloomberg.com,news,articles,2018-09-28,4
www.bloomberg.com,news,articles,2019-01-24,4
www.bloomberg.com,news,articles,2018-12-13,4
www.bloomberg.com,news,articles,2017-11-09,4
www.bloomberg.com,news,articles,2018-05-17,4
www.bloomberg.com,news,articles,2018-06-07,4
www.bloomberg.com,news,articles,2018-08-30,4
www.bloomberg.com,news,articles,2017-09-28,4
www.bloomberg.com,news,articles,2017-08-10,4
www.bloomberg.com,news,articles,2017-11-22,3
www.bloomberg.com,news,articles,2018-10-01,3
www.bloomberg.com,news,articles,2018-10-05,3
www.bloomberg.com,news,articles,2018-01-25,3
www.bloomberg.com,news,articles,2019-01-03,3
www.bloomberg.com,news,articles,2018-01-18,3
www.bloomberg.com,news,articles,2017-12-14,3
www.bloomberg.com,news,articles,2018-12-20,3
www.bloomberg.com,news,articles,2017-06-20,3
www.bloomberg.com,news,articles,2018-08-16,3
www.bloomberg.com,news,articles,2018-02-07,3
www.bloomberg.com,news,articles,2018-03-29,3
www.bloomberg.com,news,articles,2018-06-27,3
www.bloomberg.com,news,articles,2018-09-14,3
www.bloomberg.com,news,articles,2018-04-12,3
www.bloomberg.com,news,articles,2018-03-02,3
www.bloomberg.com,news,articles,2018-02-20,3
www.bloomberg.com,news,articles,2019-02-25,3
www.bloomberg.com,news,articles,2018-02-15,3
www.bloomberg.com,news,articles,2019-02-06,3
www.bloomberg.com,news,articles,2018-07-19,3
