id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33804128,"Furnished 1BR in San Francisco, Gym + Rooftop",48005494,Zeus,,South of Market,37.77443,-122.40907,Entire home/apt,146,30,0,,,208,13
33804227,"Modern 2BR in San Francisco, Gym + Pet-Friendly",48005494,Zeus,,South of Market,37.77253,-122.41053,Entire home/apt,190,30,0,,,208,55
33818649,Luxury Condo in San Francisco. 2/2 w/office,32940115,Steven,,Bayview,37.7282,-122.36874,Entire home/apt,198,90,0,,,1,180
33830929,Lower Pac Heights Studio near Shops and More,48005494,Zeus,,Western Addition,37.7847,-122.43573,Entire home/apt,132,30,2,2020-01-31,0.18,208,1
33830997,SF 1 Bedroom near Japantown,48005494,Zeus,,Western Addition,37.78445,-122.43539,Entire home/apt,225,30,0,,,208,18
33859591,"Elegant "" Marina Home ""  1 min from Beach & Palace",1700823,Jennifer,,Marina,37.80269,-122.44452,Entire home/apt,260,30,0,,,5,268
33863188,A Modern Bohemian Oasis in Prime Pacific Heights,3709671,Jennifer,,Pacific Heights,37.79021,-122.43621,Entire home/apt,250,30,22,2019-12-06,1.66,1,180
33873677,Cozy Urban Getaway,27376425,Natalie,,Marina,37.80252,-122.42665,Entire home/apt,300,30,10,2020-01-15,1.09,1,149
33881252,Private Room for Summer near USF,227730305,Emily,,Inner Richmond,37.776,-122.44905,Private room,65,40,0,,,2,358
33883208,The Manor on Monterey: 3300 sqft 3bd 2.5ba Retreat,253725609,Shaheen,,West of Twin Peaks,37.72938,-122.46085,Entire home/apt,475,2,7,2020-01-16,0.64,1,148
33900698,Charming Guest Suite in SF,2767171,Diane,,Bayview,37.74005,-122.3861,Entire home/apt,109,2,32,2020-02-29,2.89,1,35
33907636,Charming Remodeled Downtown Studio,4430421,Landmark,,Downtown/Civic Center,37.7859,-122.41467,Entire home/apt,87,30,0,,,110,179
33908655,Cole Valley Victorian. The Pink House.,53589133,Christian,,Haight Ashbury,37.7655,-122.4492,Entire home/apt,300,30,0,,,1,179
33912887,Laurel Heights 2BR near Parks and Public Transport,48005494,Zeus,,Presidio Heights,37.78362,-122.44825,Entire home/apt,203,30,1,2020-05-02,0.79,208,3
33930957,"Sunlit SoMa 2BR w/ Gym, Roofdeck, walk to Tech HQs and BART, by Blueground",107434423,Blueground,,South of Market,37.77368,-122.40926,Entire home/apt,211,30,0,,,195,306
33935404,1BR Condo ❤️ of Pac Heights ⭐️ W/D ⭐️ Walk Score 97 ⭐️,97159379,HostWell,,Pacific Heights,37.79295,-122.43502,Entire home/apt,225,30,1,2019-06-15,0.08,7,277
33941862,"Huge, tasteful Victorian flat. Sunny and central!",6573095,Sarah,,Castro/Upper Market,37.76859,-122.43245,Entire home/apt,225,30,0,,,1,0
33942157,Hotel Whitcomb | Market St | Standard One Queen,239782467,Hotel Whitcomb,,South of Market,37.77816,-122.41509,Hotel room,999,1,365,2020-03-22,26.39,7,292
33943537,"Comfortable, cozy & convenient 2 bed. apartment",43118853,Hayk,,Ocean View,37.71113,-122.45932,Entire home/apt,185,2,24,2020-02-26,1.89,2,337
33960503,Lower Pacific Heights Victorian Apartment (1 bd),2208838,Aimee,,Pacific Heights,37.7892,-122.43791,Entire home/apt,150,30,0,,,1,90
33962150,Beautiful 3BR Condo in San Francisco,48005494,Zeus,,Western Addition,37.78359,-122.44461,Entire home/apt,238,30,1,2019-08-14,0.10,208,80
33969322,Hotel Whitcomb | Market St | Standard Two Beds,239782467,Hotel Whitcomb,,Downtown/Civic Center,37.77908,-122.41433,Hotel room,999,1,281,2020-03-18,20.31,7,293
33981784,"Sharp Mission Dolores 1BR w/ W/D, walk to Muni, BART, Park by Blueground",107434423,Blueground,,Mission,37.75837,-122.42162,Entire home/apt,113,30,0,,,195,358
33985470,"Historic Lower Nob Hill 1BR w/ W/D, 1 min walk to SFMH, by Blueground",107434423,Blueground,,Downtown/Civic Center,37.78846,-122.41619,Entire home/apt,166,30,0,,,195,356
33985752,"Mod Mission Dolores 1BR w/ W/D, walk to Muni, BART, Park by Blueground",107434423,Blueground,,Mission,37.75837,-122.42162,Entire home/apt,175,30,0,,,195,291
33991821,Hotel Whitcomb | Market St | Standard One King,239782467,Hotel Whitcomb,,South of Market,37.77706,-122.41469,Hotel room,999,1,67,2020-03-13,4.95,7,293
33992126,Hotel Whitcomb | Market St | Superior One King,239782467,Hotel Whitcomb,,South of Market,37.7789,-122.41421,Hotel room,999,1,42,2020-02-16,3.11,7,298
33992162,Hotel Whitcomb | Market St | City View One King,239782467,Hotel Whitcomb,,South of Market,37.77697,-122.4155,Hotel room,999,1,5,2019-11-11,0.46,7,298
33992583,Hotel Whitcomb| Market St |City Hall View Two Beds,239782467,Hotel Whitcomb,,South of Market,37.77758,-122.41548,Hotel room,999,1,10,2020-02-09,0.77,7,298
33992760,Hotel Whitcomb | Market St | City View Two Beds,239782467,Hotel Whitcomb,,South of Market,37.7779,-122.41584,Hotel room,999,1,16,2020-03-14,1.20,7,298
33992962,Bright and sunny in a perfect location!,84966357,Andrea,,Marina,37.79705,-122.43805,Private room,95,30,3,2019-09-30,0.26,1,67
33993528,Victorian View Apartment at Noe + Mission Border,256666492,Bo,,Mission,37.75385,-122.42303,Entire home/apt,150,30,0,,,1,365
33999573,"Modern studio next to beach, G.G Park & transport",957067,Lisa,,Outer Sunset,37.76236,-122.50719,Entire home/apt,130,2,57,2020-06-03,4.96,1,132
34004538,The Big Room,256760039,Ali,,South of Market,37.77433,-122.41553,Private room,51,30,2,2019-08-15,0.16,2,180
34018349,Sunny & Private Potrero Hill House with Bay Views,41094308,Renee,,Potrero Hill,37.76017,-122.3925,Entire home/apt,550,3,19,2020-02-28,1.49,1,364
34020025,"Sunny, Modern Scandinavian Studio with Backyard",3480526,Anna,,Excelsior,37.72477,-122.42644,Entire home/apt,115,2,21,2019-11-09,1.58,1,0
34024828,Pied-À-Terre in Nob Hill- private room and  bath,136792470,Carmen,,Nob Hill,37.79543,-122.41213,Private room,145,1,23,2020-03-08,1.69,2,143
34043438,Elegant private room,4670031,Kameh,,Inner Sunset,37.76081,-122.46243,Private room,46,90,0,,,3,353
34059897,"Sunny, remodeled family home near downtown.",3096994,Faith,,Potrero Hill,37.76147,-122.39662,Entire home/apt,650,30,1,2019-08-03,0.10,3,144
34063116,Noe Valley Modern III,3191096,Viona,,Noe Valley,37.7512,-122.43542,Private room,81,1,9,2019-11-14,0.69,4,0
34065657,Cozy 2Bed/2Bath private suite  in central SF,256244870,Jieyan,,Parkside,37.74108,-122.47145,Entire home/apt,185,1,64,2020-03-14,5.45,1,177
34081671,Country living in the City!,36746051,Philip,,Lakeshore,37.73109,-122.49493,Private room,150,1,3,2019-10-20,0.30,1,365
34087400,Beautiful & bright top floor in ❤️of SF,241152029,Tim,,Western Addition,37.77036,-122.42921,Entire home/apt,360,1,2,2019-06-03,0.16,3,0
34097339,Tastefully renovated with Million Dollar Views:),73256096,Gagan,,Outer Mission,37.73243,-122.44569,Private room,150,2,24,2020-01-19,2.03,1,11
34100558,REMODELED AND FURNISHED HOME FOR RENTAL,185229727,Kevin,,Parkside,37.7406,-122.49567,Entire home/apt,170,90,0,,,1,207
34118135,Charming 2BR Nob Hill Condo in Great Location,48005494,Zeus,,Nob Hill,37.79541,-122.4159,Entire home/apt,161,30,1,2019-11-09,0.14,208,351
34118405,Charming Noe Valley 2 bedroom with projector TV,1744892,Brian + Caroline,,Noe Valley,37.75194,-122.44124,Entire home/apt,133,3,9,2020-02-26,0.70,1,0
34123156,(927 #1) private bedroom + private bathroom,46519368,Kenny,,North Beach,37.80546,-122.40925,Private room,100,30,2,2020-03-31,0.17,5,180
34125621,Sunny commuter room in the heart of the Mission!,19074501,Phan Thao,,Mission,37.75033,-122.41338,Private room,77,30,1,2019-05-31,0.08,1,0
34127900,A Knockout Panoramic View One Bedroom,5153588,Gaylene,,Bayview,37.73136,-122.38365,Entire home/apt,76,30,3,2019-10-31,0.30,3,343
34127928,"Chic apartment in the trendy, sunny Inner Mission",257691852,Bisera,,Mission,37.75593,-122.40688,Entire home/apt,320,2,4,2019-08-14,0.37,1,0
34129571,Warm & charming 2 Bedrooms- Good for family/,232380548,Frank,,Crocker Amazon,37.71268,-122.44297,Entire home/apt,118,30,4,2020-03-11,0.32,1,365
34132948,"Modern Nob Hill 2BR w/ W/D, Lounge near SFMH & Union Sq., by Blueground",107434423,Blueground,,Nob Hill,37.79008,-122.41363,Entire home/apt,196,30,0,,,195,312
34142368,"Central Lower Nob Hill 2BR w/ W/D, 1 min walk to SFMH, by Blueground",107434423,Blueground,,Downtown/Civic Center,37.78846,-122.41619,Entire home/apt,205,30,0,,,195,294
34144769,"Private,modern en~suite with private entrance.",2097286,Laurie,,West of Twin Peaks,37.73672,-122.45865,Private room,110,30,1,2019-06-30,0.09,1,89
34155649,Furnished 2 Beds 1 ba in Daly City,226925327,Lisa,,Ocean View,37.70825,-122.46546,Entire home/apt,139,3,45,2020-02-28,3.38,1,0
34171989,Beautiful 2BR Home near the Fabulous Castro,48005494,Zeus,,Castro/Upper Market,37.75964,-122.43945,Entire home/apt,180,30,1,2019-10-17,0.13,208,21
