,name,content,timestamp
241,Robert39#5805,:D,2020-11-16T16:58:04.297000+00:00
242,Robert39#5805,im 1 win from p[3,2020-11-16T16:58:06.554000+00:00
243,Robert39#5805,Again,2020-11-16T16:58:08.055000+00:00
244,Ezreal#0001,im legit the most reformed,2020-11-16T02:45:53.338000+00:00
245,Ezreal#0001,mofkok,2020-11-16T02:45:54.723000+00:00
246,Sveaboo#2515,man,2020-11-16T02:46:46.251000+00:00
247,🌸Koichi✨#9668,oki :0,2020-11-16T02:46:46.608000+00:00
248,Robert39#5805,im smurfing in discord,2020-11-16T00:24:52.403000+00:00
249,Robert39#5805,<:kek:623181156732502026>,2020-11-16T00:24:55.326000+00:00
250,DRAKE#2193,http://euw.lol/,2020-11-16T00:26:13.542000+00:00
251,XaiinZ#9700,"> hes coming for ur spot or wot
<@!501876356515233814>   It’s okay he deserves it",2020-11-16T00:26:19.045000+00:00
252,XaiinZ#9700,<:02Love:749786999287840830>,2020-11-16T00:26:20.929000+00:00
253,XaiinZ#9700,<:PandaSip:350953723133952000>,2020-11-15T22:23:36.240000+00:00
254,XaiinZ#9700,!rank,2020-11-15T22:24:05.832000+00:00
255,Naota Nandaba#8064,<@!382217244228190208>,2020-11-15T22:27:47.963000+00:00
256,Orange#4911,ah i feel good 😄,2020-11-15T22:51:37.859000+00:00
257,Naota Nandaba#8064,<@!382217244228190208> brb i go get a drink n stuff 10 min,2020-11-15T22:01:21.264000+00:00
258,Luxcha✨🌸#0831,!rank,2020-11-15T22:05:05.795000+00:00
259,Luxcha✨🌸#0831,ez,2020-11-15T22:05:06.503000+00:00
260,D I E T  W A T E R#1044,👀,2020-11-15T22:07:00.304000+00:00
261,Rift#5784,!rank,2020-11-15T07:50:05.800000+00:00
262,Rift#5784,<:PeepoPointLaugh:663143007251464216> <@474320594163466250>,2020-11-15T07:50:18.833000+00:00
263,Rift#5784,enjoying my back view?,2020-11-15T07:50:35.005000+00:00
264,Luxcha✨🌸#0831,Cs go trash,2020-11-15T07:47:36.402000+00:00
265,Luxcha✨🌸#0831,!rank,2020-11-15T07:47:48.549000+00:00
266,Rift#5784,!rank,2020-11-15T07:50:05.800000+00:00
267,Ohmbitter#5208,!rank,2020-11-15T07:43:28.114000+00:00
268,Ohmbitter#5208,<:hmm:749424953946013696>,2020-11-15T07:43:36.708000+00:00
269,Luxcha✨🌸#0831,Cs go trash,2020-11-15T07:47:36.402000+00:00
270,Brainf**k!#9160,powerpoint,2020-11-15T07:40:02.436000+00:00
271,Brainf**k!#9160,!rank,2020-11-15T07:40:04.941000+00:00
272,Ohmbitter#5208,!rank,2020-11-15T07:43:28.114000+00:00
